Timestamp                       Thread     Type        Activity             PID    TTL
2026-04-08 10:13:35.280236+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 a4 04 0c 0b a0 00 00 00 18 80 00 00 00 06 62
2026-04-08 10:13:35.282058+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 69 99
2026-04-08 10:13:35.282246+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 a4 04 00 07 62 76 01 ff 00 00 00
2026-04-08 10:13:35.283893+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 69 99
2026-04-08 10:13:35.284477+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 a4 04 00 06 a0 00 00 00 01 01
2026-04-08 10:13:35.286117+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 69 99
2026-04-08 10:13:35.286308+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 a4 04 00 0b e8 2b 06 01 04 01 81 c3 1f 02 01 00
2026-04-08 10:13:35.288177+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 69 99
2026-04-08 10:13:35.288331+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 ca df 30 05
2026-04-08 10:13:35.289542+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 69 99
2026-04-08 10:13:35.289698+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 a4 04 00 09 a0 00 00 03 08 00 00 10 00 00
2026-04-08 10:13:35.315682+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 61 11 4f 06 00 00 10 00 01 00 79 07 4f 05 a0 00 00 03 08 90 00
2026-04-08 10:13:35.316156+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 5f c1 07 00
2026-04-08 10:13:35.375640+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 80
2026-04-08 10:13:35.375901+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 03 5c 01 7e 00
2026-04-08 10:13:35.422752+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 7e 12 4f 0b a0 00 00 03 08 00 00 10 00 01 00 5f 2f 02 58 00 90 00
2026-04-08 10:13:35.423061+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 5f c1 0c 00
2026-04-08 10:13:35.488069+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 80
2026-04-08 10:13:35.488938+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 03 5c 01 7e 00
2026-04-08 10:13:35.534246+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 7e 12 4f 0b a0 00 00 03 08 00 00 10 00 01 00 5f 2f 02 58 00 90 00
2026-04-08 10:13:35.534798+0200 0x133abde  Default     0x7975b3             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 5f c1 02 00
