Timestamp                       Thread     Type        Activity             PID    TTL
## APDU лог
2026-04-01 11:47:15.015023+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 81 cb df 39 04
2026-04-01 11:47:15.025682+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 00 01 ae dc 90 00
2026-04-01 11:47:15.027236+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 81 cb 3f ff 05 4d 03 ff 81 80 00
2026-04-01 11:47:15.041091+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- e2 10 a0 0b 8c 04 f0 00 00 00 a1 03 e0 07 07 83 01 80 9a 01 05 9b 01 05 99 01 ff 9c 01 ff 9d 01 81 9e 01 a5 91 14 00 06 08 01 aa 00 08 08 55 00 00 08 08 00 00 00 aa 00 00 00 90 00
2026-04-01 11:47:15.041760+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 81 cb 3f ff 05 4d 03 ff 84 0b 00
2026-04-01 11:47:15.054953+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- e2 15 a0 0d 8c 05 e3 00 00 02 ff a1 04 e2 ff ff ff 83 01 9b 8a 01 05 9a 01 10 9b 01 10 99 02 ff ff 9c 02 ff ff 80 01 08 90 00
2026-04-01 11:47:15.055789+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 ff f3 02 00
2026-04-01 11:47:15.080720+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 80
2026-04-01 11:47:15.081683+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 ff f3 02 00
2026-04-01 11:47:15.129624+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 80
2026-04-01 11:47:15.131863+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 81 cb 3f ff 05 4d 03 ff 81 80 00
2026-04-01 11:47:15.153323+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- e2 10 a0 0b 8c 04 f0 00 00 00 a1 03 e0 07 07 83 01 80 9a 01 05 9b 01 05 99 01 ff 9c 01 ff 9d 01 81 9e 01 a5 91 14 00 06 08 01 aa 00 08 08 55 00 00 08 08 00 00 00 aa 00 00 00 90 00
2026-04-01 11:47:15.154082+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 81 cb 3f ff 05 4d 03 ff 81 81 00
2026-04-01 11:47:15.167750+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- e2 0f a0 0a 8c 03 d0 00 ff a1 03 e0 ff ff 83 01 81 9a 01 05 9b 01 05 99 01 ff 9c 01 ff 9d 01 ff 9e 01 a5 91 14 00 08 08 00 aa 00 08 08 55 00 00 08 08 00 00 00 aa 00 00 00 90 00
2026-04-01 11:47:15.168560+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 81 cb 3f ff 05 4d 03 ff 84 0b 00
2026-04-01 11:47:15.181678+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- e2 15 a0 0d 8c 05 e3 00 00 02 ff a1 04 e2 ff ff ff 83 01 9b 8a 01 05 9a 01 10 9b 01 10 99 02 ff ff 9c 02 ff ff 80 01 08 90 00
2026-04-01 11:47:15.182331+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 81 cb 3f ff 05 4d 03 ff 81 80 00
2026-04-01 11:47:15.196045+0200 0xc60280   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- e2 10 a0 0b 8c 04 f0 00 00 00 a1 03 e0 07 07 83 01 80 9a 01 05 9b 01 05 99 01 ff 9c 01 ff 9d 01 81 9e 01 a5 91 14 00 06 08 01 aa 00 08 08 55 00 00 08 08 00 00 00 aa 00 00 00 90 00
