Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-08 20:30:20.321202+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 a4 04 00 07 62 76 01 ff 00 00 00
2026-04-08 20:30:20.321755+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 82
2026-04-08 20:30:20.322275+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 a4 04 00 06 a0 00 00 00 01 01
2026-04-08 20:30:20.322800+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 82
2026-04-08 20:30:20.323005+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 a4 04 00 0b e8 2b 06 01 04 01 81 c3 1f 02 01 00
2026-04-08 20:30:20.323501+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 82
2026-04-08 20:30:20.323678+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 ca df 30 05
2026-04-08 20:30:20.323922+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6d 00
2026-04-08 20:30:20.324156+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 03 5c 01 7e 00
2026-04-08 20:30:20.324510+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6d 00
2026-04-08 20:30:20.324657+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 a4 04 00 09 a0 00 00 03 08 00 00 10 00 00
2026-04-08 20:30:20.325976+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 61 11 4f 06 00 00 10 00 01 00 79 07 4f 05 a0 00 00 03 08 90 00
2026-04-08 20:30:20.326107+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 fd 00 00 03
2026-04-08 20:30:20.326543+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 05 04 03 90 00
2026-04-08 20:30:20.326642+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 03 5c 01 7e 00
2026-04-08 20:30:20.327199+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 7e 12 4f 0b a0 00 00 03 08 00 00 10 00 01 00 5f 2f 02 40 00 90 00
2026-04-08 20:30:20.327391+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 5f c1 0c 00
2026-04-08 20:30:20.327927+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 82
2026-04-08 20:30:20.328212+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 03 5c 01 7e 00
2026-04-08 20:30:20.328716+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 7e 12 4f 0b a0 00 00 03 08 00 00 10 00 01 00 5f 2f 02 40 00 90 00
2026-04-08 20:30:20.329468+0200 0x15a7a3b  Default     0x865053             21374  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 5f c1 02 00
